Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aḍi ""beneath""","beneath; low, below",,Gondwan etymology,,Also Gondi_Muaḍitalower;aṛkebelow; Gondi_Koaṛgitalower,,,,,,,,,33,72,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=6&root=config
"iyāl ""mother""",mother; female,,Gondwan etymology,,Also Gondi_Wmaijūwife,,,,,,,"The form*māy-means 'my mother', while*mīy-is 'your mother'",,"69, 180, 2796, 2854, 3007",364,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1430&root=config
aŋge,elder brother's wife,,Gondwan etymology,,Also Gondi_FHangesister-in-law,,,,,,,Koyayeŋgeshould be considered as a 1st person possessive form ('my..'),,"15, 1644",3015,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=47&root=config
"aŋil-/aŋl- ""to open mouth""","to open mouth, yawn",,Gondwan etymology,,Also Gondi_Mu caus.alŋgh-/alŋgih-,,,,,,,,,14,34,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=48&root=config
"arūli ""chest of body""",udder; chest,,Gondwan etymology,,,,,,,,,"Retroflex articulation in Betul and Mandla is strange and probably erroneous. Various epenthetic vowels in different dialects are due to developments*arjil>*arijl>*arijVl, on one side, and*arjil>*arVjil>*arVjl>*arVjVl, on the other.",,76,200,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=37&root=config
ar-,to fall,,Gondwan etymology,,"Also caus. Gondi_Trarhuttānā, Gondi_Pharahtānā,arsahtānā, Gondi_Muarih-/arh-, Gondi_Sarah-, Gondi_A (SR)arusānāto cause to fall; Gondi_Korāl-to fall (< Telugu)",,,,,,,,,"72, 3027",233,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=29&root=config
"aṛka ""cooking pot""",cooking-pot,,Gondwan etymology,,,,,,,,,,,25,75,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=43&root=config
aṭṭ-,to cook,,Gondwan etymology,,Also Gondi_Traṭyārboiling water; Gondi_A (SR)aṭvālcooking-pot,,,,,,,,,"26, 27, 28",76,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=41&root=config
avahari,mother,,Gondwan etymology,,"Also Gondi_Maavval(pl.avvasku) mother; Gondi_Lavālmother; Gondi_Trmaiwalmy mother (lit. our mother);mīwalthy mother (lit. your mother);awhāṛīmother, dam of man or beast; Gondi_Phavhā̆rīid. (for-harisee 2357)",,,,,,,,,102,273,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=46&root=config
"berel ""banyan""","banyan, pipal tree",,Gondwan etymology,,"Also Gondiālī̆pipal tree (many dialects), Gondi_Muberelbanyan",,,,,,,In most dialects*berāl->*berel-through assimilation.,,"142, 2604",382,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=56&root=config
āṛ,woman,,Gondwan etymology,,,,,,,,,,,139,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=60&root=config
